,Rank,Name Of Movie,Releasing Year,Duration,Type Of Movie,Rating,Votes,Gross
0, 1, The Shawshank Redemption ,1994  ,142 min, Drama            ,  9.3 ,"   2,497,298 ",   $28.34M 
1, 2, The Godfather ,1972  ,175 min," Crime, Drama            ",  9.2 ,"   1,722,056 ",   $134.97M 
2, 3, The Dark Knight ,2008  ,152 min," Action, Crime, Drama            ",  9.0 ,"   2,447,905 ",   $534.86M 
3, 4, The Godfather: Part II ,1974  ,202 min," Crime, Drama            ",  9.0 ,"   1,195,318 ",   $57.30M 
4, 5, 12 Angry Men ,1957  ,96 min," Crime, Drama            ",  9.0 ,"   737,757 ",   $4.36M 
5, 6, The Lord of the Rings: The Return of the King ,2003  ,201 min," Action, Adventure, Drama            ",  8.9 ,"   1,726,210 ",   $377.85M 
6, 7, Pulp Fiction ,1994  ,154 min," Crime, Drama            ",  8.9 ,"   1,928,140 ",   $107.93M 
7, 8, Schindler's List ,1993  ,195 min," Biography, Drama, History            ",  8.9 ,"   1,278,585 ",   $96.90M 
8, 9, Inception ,2010  ,148 min," Action, Adventure, Sci-Fi            ",  8.8 ,"   2,196,526 ",   $292.58M 
9, 10, Fight Club ,1999  ,139 min, Drama            ,  8.8 ,"   1,965,063 ",   $37.03M 
10, 11, The Lord of the Rings: The Fellowship of the Ring ,2001  ,178 min," Action, Adventure, Drama            ",  8.8 ,"   1,747,508 ",   $315.54M 
11, 12, Forrest Gump ,1994  ,142 min," Drama, Romance            ",  8.8 ,"   1,927,995 ",   $330.25M 
12, 13," Il buono, il brutto, il cattivo ",1966  ,161 min," Adventure, Western            ",  8.8 ,"   724,104 ",   $6.10M 
13, 14, The Lord of the Rings: The Two Towers ,2002  ,179 min," Action, Adventure, Drama            ",  8.7 ,"   1,560,456 ",   $342.55M 
14, 15, The Matrix ,1999  ,136 min," Action, Sci-Fi            ",  8.7 ,"   1,781,296 ",   $171.48M 
15, 16, Goodfellas ,1990  ,146 min," Biography, Crime, Drama            ",  8.7 ,"   1,081,669 ",   $46.84M 
16, 17, Star Wars: Episode V - The Empire Strikes Back ,1980  ,124 min," Action, Adventure, Fantasy            ",  8.7 ,"   1,215,985 ",   $290.48M 
17, 18, One Flew Over the Cuckoo's Nest ,1975  ,133 min, Drama            ,  8.7 ,"   961,525 ",   $112.00M 
18, 19, Gisaengchung ,2019  ,132 min," Comedy, Drama, Thriller            ",  8.6 ,"   686,011 ",   $53.37M 
19, 20, Interstellar ,2014  ,169 min," Adventure, Drama, Sci-Fi            ",  8.6 ,"   1,645,995 ",   $188.02M 
20, 21, Cidade de Deus ,2002  ,130 min," Crime, Drama            ",  8.6 ,"   726,904 ",   $7.56M 
21, 22, Sen to Chihiro no kamikakushi ,2001  ,125 min," Animation, Adventure, Family            ",  8.6 ,"   703,282 ",   $10.06M 
22, 23, Saving Private Ryan ,1998  ,169 min," Drama, War            ",  8.6 ,"   1,305,667 ",   $216.54M 
23, 24, The Green Mile ,1999  ,189 min," Crime, Drama, Fantasy            ",  8.6 ,"   1,216,070 ",   $136.80M 
24, 25, La vita è bella ,1997  ,116 min," Comedy, Drama, Romance            ",  8.6 ,"   658,417 ",   $57.60M 
25, 26, Se7en ,1995  ,127 min," Crime, Drama, Mystery            ",  8.6 ,"   1,534,442 ",   $100.13M 
26, 27, The Silence of the Lambs ,1991  ,118 min," Crime, Drama, Thriller            ",  8.6 ,"   1,345,906 ",   $130.74M 
27, 28, Star Wars ,1977  ,121 min," Action, Adventure, Fantasy            ",  8.6 ,"   1,287,660 ",   $322.74M 
28, 29, Seppuku ,1962  ,133 min," Action, Drama, Mystery            ",  8.6 ,"   50,400 "," Votes: 50,400 "
29, 30, Shichinin no samurai ,1954  ,207 min," Action, Adventure, Drama            ",  8.6 ,"   331,661 ",   $0.27M 
30, 31, It's a Wonderful Life ,1946  ,130 min," Drama, Family, Fantasy            ",  8.6 ,"   425,874 "," Votes: 425,874 "
31, 32, Whiplash ,2014  ,106 min," Drama, Music            ",  8.5 ,"   774,436 ",   $13.09M 
32, 33, The Intouchables ,2011  ,112 min," Biography, Comedy, Drama            ",  8.5 ,"   805,438 ",   $13.18M 
33, 34, The Prestige ,2006  ,130 min," Drama, Mystery, Sci-Fi            ",  8.5 ,"   1,257,772 ",   $53.09M 
34, 35, The Departed ,2006  ,151 min," Action, Crime, Drama            ",  8.5 ,"   1,252,280 ",   $132.38M 
35, 36, The Pianist ,2002  ,150 min," Biography, Drama, Music            ",  8.5 ,"   779,300 ",   $32.57M 
36, 37, Gladiator ,2000  ,155 min," Action, Adventure, Drama            ",  8.5 ,"   1,413,616 ",   $187.71M 
37, 38, American History X ,1998  ,119 min, Drama            ,  8.5 ,"   1,074,673 ",   $6.72M 
38, 39, The Usual Suspects ,1995  ,106 min," Crime, Drama, Mystery            ",  8.5 ,"   1,036,821 ",   $23.34M 
39, 40, Léon ,1994  ,110 min," Action, Crime, Drama            ",  8.5 ,"   1,093,396 ",   $19.50M 
40, 41, The Lion King ,1994  ,88 min," Animation, Adventure, Drama            ",  8.5 ,"   993,156 ",   $422.78M 
41, 42, Terminator 2: Judgment Day ,1991  ,137 min," Action, Sci-Fi            ",  8.5 ,"   1,042,238 ",   $204.84M 
42, 43, Nuovo Cinema Paradiso ,1988  ,155 min," Drama, Romance            ",  8.5 ,"   247,845 ",   $11.99M 
