,Rank,Name Of Movie,Releasing Year,Duration(in minutes),Type Of Movie,Rating,Director,Stars,Votes,Gross
0,1, Jai Bhim ,2021,164," Crime, Drama            ",9.5, T.J. Gnanavel ," Suriya,  Lijo Mol Jose,  Manikandan,  Rajisha Vijayan   ",145713,
1,2, Sardar Udham ,2021,164," Biography, Crime, Drama            ",8.9, Shoojit Sircar ," Vicky Kaushal,  Banita Sandhu,  Shaun Scott,  Stephen Hogan   ",30325,
2,3, Shershaah ,2021,135," Action, Biography, Drama            ",8.7, Vishnuvardhan ," Sidharth Malhotra,  Kiara Advani,  Shiv Panditt,  Pranay Pachauri   ",108519,
3,4, Golmaal ,1979,144," Comedy, Romance            ",8.6, Hrishikesh Mukherjee ," Amol Palekar,  Bindiya Goswami,  Deven Verma,  Shubha Khote   ",18787,
4,5, Koshish ,1972,125, Drama            ,8.6, Gulzar ," Sanjeev Kumar,  Jaya Bachchan,  Govardhan Asrani,  Seema Deo   ",1589,
5,6, Black Friday ,2004,143," Action, Crime, Drama            ",8.5, Anurag Kashyap ," Kay Kay Menon,  Pawan Malhotra,  Aditya Srivastav,  Dibyendu Bhattacharya   ",20167, $0.03M   
6,7, Pyaasa ,1957,146," Drama, Musical, Romance            ",8.5, Guru Dutt ," Guru Dutt,  Waheeda Rehman,  Mala Sinha,  Rehman Khan   ",6105,
7,8, 3 Idiots ,2009,170," Comedy, Drama            ",8.4, Rajkumar Hirani ," Aamir Khan,  Madhavan,  Mona Singh,  Sharman Joshi   ",372077, $6.53M   
8,9, Dangal ,2016,161," Action, Biography, Drama            ",8.4, Nitesh Tiwari ," Aamir Khan,  Sakshi Tanwar,  Fatima Sana Shaikh,  Sanya Malhotra   ",174211, $12.39M   
9,10, Taare Zameen Par ,2007,165," Drama, Family            ",8.4,," Darsheel Safary,  Aamir Khan,  Tisca Chopra,  Vipin Sharma   ",182698, $1.22M   
10,11, Masoom ,1983,165, Drama            ,8.4, Shekhar Kapur ," Naseeruddin Shah,  Shabana Azmi,  Jugal Hansraj,  Urmila Matondkar   ",3926,
11,12, Khuda Kay Liye ,2007,168, Drama            ,8.4, Shoaib Mansoor ," Shaan Shahid,  Fawad Khan,  Iman Ali,  Austin Marie Sayre   ",9260,
12,13, Guide ,1965,183," Drama, Musical, Romance            ",8.4, Vijay Anand ," Dev Anand,  Waheeda Rehman,  Leela Chitnis,  Anwar Hussain   ",7859,
13,14, Jaane Bhi Do Yaaro ,1983,132," Comedy, Crime, Drama            ",8.4, Kundan Shah ," Naseeruddin Shah,  Ravi Baswani,  Bhakti Barve,  Satish Shah   ",13785,
14,15, Do Ankhen Barah Haath ,1957,143," Comedy, Crime, Drama            ",8.4, Shantaram Rajaram Vankudre ," Shantaram Rajaram Vankudre,  Sandhya,  Ulhas,  B.M. Vyas   ",1769,
15,16, Uri: The Surgical Strike ,2019,138," Action, Drama, War            ",8.3, Aditya Dhar ," Vicky Kaushal,  Paresh Rawal,  Mohit Raina,  Yami Gautam   ",53607, $4.19M   
16,17, Satya ,1998,170," Action, Crime, Drama            ",8.3, Ram Gopal Varma ," J.D. Chakravarthi,  Manoj Bajpayee,  Urmila Matondkar,  Paresh Rawal   ",14551,
17,18, Ek Ruka Hua Faisla ,1986,127," Drama, Thriller            ",8.3, Basu Chatterjee ," Deepak Qazir,  Amitabh Srivastava,  Pankaj Kapur,  S.M. Zaheer   ",1747,
18,19, Do Bigha Zamin ,1953,131, Drama            ,8.3, Bimal Roy ," Balraj Sahni,  Nirupa Roy,  Ratan Kumar,  Murad   ",1966,
19,20, Chhoti Si Baat ,1976,123," Comedy, Romance            ",8.3, Basu Chatterjee ," Ashok Kumar,  Vidya Sinha,  Amol Palekar,  Govardhan Asrani   ",4023,
20,21, Chupke Chupke ,1975,146," Comedy, Drama, Romance            ",8.3, Hrishikesh Mukherjee ," Dharmendra,  Sharmila Tagore,  Amitabh Bachchan,  Jaya Bachchan   ",12247,
21,22, Ek Doctor Ki Maut ,1990,122," Biography, Drama            ",8.3, Tapan Sinha ," Shabana Azmi,  Pankaj Kapur,  Irrfan Khan,  Deepa Sahi   ",1390,
22,23, Andhadhun ,2018,139," Crime, Drama, Music            ",8.2, Sriram Raghavan ," Ayushmann Khurrana,  Tabu,  Radhika Apte,  Anil Dhawan   ",84739, $1.37M   
23,24, Gangs of Wasseypur ,2012,321," Action, Comedy, Crime            ",8.2, Anurag Kashyap ," Manoj Bajpayee,  Richa Chadha,  Nawazuddin Siddiqui,  Tigmanshu Dhulia   ",90893,
24,25, Drishyam ,2015,163," Crime, Drama, Mystery            ",8.2, Nishikant Kamat ," Ajay Devgn,  Shriya Saran,  Tabu,  Rajat Kapoor   ",77485, $0.74M   
25,26, Zindagi Na Milegi Dobara ,2011,155," Comedy, Drama            ",8.2, Zoya Akhtar ," Hrithik Roshan,  Farhan Akhtar,  Abhay Deol,  Katrina Kaif   ",73635, $3.11M   
