,Rank,Player,Team,Rating,Career Best Rating
0,1,Babar Azam,PAK                    ,873,"                                873 v England, 13/07/2021                        "
1,2,Virat Kohli,IND,844,"                                911 v England, 12/07/2018                        "
2,3,Rohit Sharma,IND,813,"                                885 v Sri Lanka, 06/07/2019                        "
3,4,Ross Taylor,NZ,801,"                                841 v Bangladesh, 05/06/2019                        "
4,5,Aaron Finch,AUS,779,"                                798 v England, 25/06/2019                        "
5,6,Jonny Bairstow,ENG,775,"                                796 v India, 26/03/2021                        "
6,7,David Warner,AUS,762,"                                880 v Pakistan, 26/01/2017                        "
7,8,Shai Hope,WI,758,"                                808 v Bangladesh, 17/05/2019                        "
8,9,Kane Williamson,NZ,754,"                                799 v India, 09/07/2019                        "
9,10,Quinton de Kock,SA,747,"                                813 v Sri Lanka, 10/03/2019                        "
