,Rank,Player,Team,Rating,Career Best Rating
0,1,Marizanne Kapp,SA                    ,384,"                                419 v West Indies, 10/09/2021                        "
1,2,Natalie Sciver,ENG,372,"                                391 v New Zealand, 16/09/2021                        "
2,3,Ellyse Perry,AUS,365,"                                548 v West Indies, 11/09/2019                        "
3,4,Stafanie Taylor,WI,314,"                                559 v New Zealand, 10/10/2013                        "
4,5,Deepti Sharma,IND,299,"                                397 v South Africa, 09/10/2019                        "
5,6,Ashleigh Gardner,AUS,275,"                                275 v India, 26/09/2021                        "
6,7,Dane van Niekerk,SA,274,"                                421 v Sri Lanka, 11/02/2019                        "
7,8,Jess Jonassen,AUS,272,"                                308 v West Indies, 11/09/2019                        "
8,9,Katherine Brunt,ENG,272,"                                295 v New Zealand, 21/09/2021                        "
9,10,Hayley Matthews,WI,271,"                                271 v Pakistan, 14/11/2021                        "
