,Restaurant Name,Cuisine,Location,Ratings,Price,Image URL
0,Castle Barbeque," Chinese, North Indian","Connaught Place, Central Delhi",3.5,"₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/k/b/p86792-16062953735fbe1f4d3fb7e.jpg?tr=tr:n-medium
1,Jungle Jamboree," North Indian, Barbecue, Italian, Asian","3CS Mall,Lajpat Nagar - 3, South Delhi",3.9,"₹ 1,400 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/k/p59633-16046474755fa4fa33c0e92.jpg?tr=tr:n-medium
2,Castle Barbeque," North Indian, Chinese","Pacific Mall,Tagore Garden, West Delhi",4,"₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/j/o/p38113-15959192065f1fcb666130c.jpg?tr=tr:n-medium
3,Cafe Knosh," Multi-Cuisine, North Indian, Italian, Continental, Mediterranean","The Leela Ambience Convention Hotel,Shahdara, East Delhi",4.3,"₹ 3,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/j/v/p406-163401663361651d79326d0.jpg?tr=tr:n-medium
4,The Barbeque Company," Barbecue, Chinese, Mughlai, North Indian","Gardens Galleria,Sector 38A, Noida",4.1,"₹ 1,800 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/q/d/p79307-16051787075fad15532bd7c.jpg?tr=tr:n-medium
5,India Grill," North Indian, Italian, Oriental ","Hilton Garden Inn,Saket, South Delhi",3.9,"₹ 2,400 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/v/t/p2687-1482477169585cce712b90f.jpg?tr=tr:n-medium
6,Delhi Barbeque," Barbecue, North Indian","Taurus Sarovar Portico,Mahipalpur, South Delhi",3.6,"₹ 1,500 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/f/p52501-16006856545f68865616659.jpg?tr=tr:n-medium
7,The Monarch - Bar Be Que Village," North Indian, Chinese, Fast Food","Indirapuram Habitat Centre,Indirapuram, Ghaziabad",3.9,"₹ 1,600 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/n/o/p34822-15599107305cfa594a13c24.jpg?tr=tr:n-medium
8,World Cafe," North Indian, Chinese, Continental","Vibe by The Lalit Traveller,Sector 35, Faridabad",4.2,₹ 900 for 2 (approx) ,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/y/p12366-1466935020576fa6ecdc359.jpg?tr=tr:n-medium
9,Indian Grill Room," North Indian, Mughlai, Barbecue","Suncity Business Tower,Golf Course Road, Gurgaon",4.3,"₹ 2,200 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/y/p549-15143767525a438e30b3e19.jpg?tr=tr:n-medium
10,Mad 4 Bar B Que," North Indian, Mughlai","Sector 29, Faridabad",3.9,₹ 800 for 2 (approx) ,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/j/e/p43488-15295778165b2b8158ceeef.jpg?tr=tr:n-medium
11,Barbeque 29," North Indian, Chinese, Barbecue","NIT, Faridabad",4.2,"₹ 1,500 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/r/p58842-15624171585d209806d9143.jpg?tr=tr:n-medium
12,Glasshouse," Multi-Cuisine, Asian, European, Italian, North Indian","DoubleTree By Hilton Gurugram Baani Square,Sector 50, Gurgaon",4.1,"₹ 3,400 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/f/p9875-16057921085fb6716cc44f8.jpg?tr=tr:n-medium
