,Hour,Weather Condition,Temperature,Wind,Humidity,Pressure
0,09:30,Mist,16°C,9 km/h,77%,1019 hPa
1,09:00,Mist,14°C,9 km/h,94%,1019 hPa
2,08:30,Mist,13°C,7 km/h,94%,1019 hPa
3,08:00,Mist,13°C,7 km/h,94%,1018 hPa
4,07:00,Mist,14°C,7 km/h,88%,1018 hPa
5,06:30,Mist,14°C,7 km/h,88%,1017 hPa
6,06:00,Mist,14°C,7 km/h,88%,1017 hPa
7,05:30,Mist,14°C,6 km/h,82%,1017 hPa
8,05:00,Mist,14°C,Calm,82%,1017 hPa
9,04:30,Mist,15°C,Calm,82%,1017 hPa
10,04:00,Mist,15°C,Calm,82%,1017 hPa
11,03:30,Mist,15°C,6 km/h,82%,1017 hPa
12,03:00,Mist,15°C,6 km/h,82%,1017 hPa
13,02:30,Mist,15°C,6 km/h,82%,1017 hPa
14,02:00,Mist,15°C,6 km/h,82%,1017 hPa
15,01:30,Mist,15°C,6 km/h,82%,1017 hPa
16,01:00,Mist,15°C,6 km/h,88%,1017 hPa
17,00:30,Mist,15°C,6 km/h,88%,1017 hPa
18,00:00,Mist,15°C,Calm,82%,1017 hPa
19,23:30,Mist,16°C,Calm,77%,1017 hPa
20,23:00,Widespread Fog,17°C,Calm,72%,1018 hPa
21,22:30,Widespread Fog,17°C,Calm,68%,1018 hPa
22,22:00,Widespread Fog,18°C,Calm,64%,1017 hPa
23,21:30,Widespread Fog,19°C,6 km/h,60%,1017 hPa
24,21:00,Widespread Fog,19°C,7 km/h,60%,1017 hPa
25,20:30,Widespread Fog,19°C,6 km/h,60%,1017 hPa
26,19:30,Widespread Fog,19°C,6 km/h,52%,1017 hPa
27,19:00,Widespread Fog,20°C,6 km/h,49%,1017 hPa
28,18:30,Widespread Fog,21°C,7 km/h,46%,1017 hPa
29,18:00,Widespread Fog,22°C,7 km/h,43%,1016 hPa
30,17:30,Widespread Fog,22°C,7 km/h,41%,1016 hPa
31,17:00,Widespread Fog,23°C,7 km/h,38%,1016 hPa
32,16:30,Widespread Fog,24°C,11 km/h,34%,1016 hPa
33,16:00,Widespread Fog,25°C,13 km/h,30%,1016 hPa
34,15:30,Widespread Fog,25°C,11 km/h,30%,1016 hPa
35,15:00,Widespread Fog,25°C,15 km/h,34%,1017 hPa
36,14:30,Widespread Fog,24°C,15 km/h,41%,1017 hPa
37,14:00,Widespread Fog,24°C,17 km/h,41%,1017 hPa
38,13:30,Widespread Fog,24°C,13 km/h,44%,1018 hPa
39,13:00,Widespread Fog,23°C,15 km/h,47%,1018 hPa
40,12:30,Widespread Fog,23°C,13 km/h,57%,1019 hPa
41,12:00,Widespread Fog,22°C,11 km/h,64%,1020 hPa
42,11:30,Widespread Fog,21°C,9 km/h,69%,1020 hPa
43,11:00,Widespread Fog,21°C,7 km/h,69%,1021 hPa
44,10:30,Fog,20°C,6 km/h,78%,1021 hPa
45,10:00,Fog,19°C,6 km/h,88%,1021 hPa
46,09:30,Fog,17°C,7 km/h,100%,1021 hPa
47,09:00,Fog,16°C,Calm,100%,1020 hPa
